timestamp,x,y,z
1357599236122,261.0,-1.0,-0.0
1357599236336,261.0,-1.0,-1.0
1357599239538,261.0,-1.0,-0.0
1357599239753,261.0,-1.0,-1.0
1357599240390,261.0,-1.0,-0.0
1357599240603,261.0,-1.0,-1.0
1357599240814,261.0,-1.0,-0.0
1357599241026,261.0,-1.0,-1.0
1357599243808,261.0,-1.0,-0.0
1357599244022,261.0,-1.0,-1.0
1357599246369,260.0,-1.0,-0.0
1357599246583,260.0,-1.0,-1.0
1357599247011,260.0,-1.0,-0.0
1357599247439,260.0,-1.0,-1.0
1357599247867,261.0,-1.0,-1.0
1357599249149,261.0,0.0,-0.0
1357599249361,261.0,-1.0,-1.0
1357599249575,261.0,-1.0,-0.0
1357599249787,261.0,-1.0,-1.0
1357599250000,261.0,-1.0,-0.0
1357599250428,262.0,-1.0,-1.0
1357599251280,261.0,-1.0,-1.0
1357599251493,262.0,-1.0,-1.0
1357599251707,261.0,0.0,-0.0
1357599251921,261.0,-1.0,-1.0
1357599252561,261.0,-1.0,-0.0
1357599253417,261.0,-1.0,-1.0
1357599253843,262.0,-1.0,-1.0
1357599254057,262.0,-1.0,-0.0
1357599254485,262.0,-1.0,-1.0
1357599255764,261.0,-1.0,-0.0
1357599256192,261.0,-1.0,-1.0
1357599256406,261.0,-1.0,-0.0
1357599256619,261.0,0.0,-1.0
1357599256832,261.0,-1.0,-1.0
1357599257688,261.0,0.0,-1.0
1357599257902,261.0,-1.0,-0.0
1357599258543,261.0,-1.0,-1.0
1357599258757,261.0,-1.0,-0.0
1357599259185,261.0,-1.0,-1.0
1357599259400,261.0,-1.0,-0.0
1357599259614,261.0,-1.0,-1.0
1357599259828,261.0,-1.0,-0.0
1357599260042,261.0,-1.0,-1.0
1357599260257,261.0,-1.0,-0.0
1357599260470,261.0,-1.0,-1.0
1357599261329,260.0,-1.0,-0.0
1357599261540,260.0,-1.0,-1.0
1357599261754,260.0,-1.0,-0.0
1357599261968,260.0,-1.0,-1.0
1357599263037,260.0,-1.0,-0.0
1357599263252,261.0,-1.0,-0.0
1357599264108,261.0,-1.0,-1.0
1357599264323,261.0,-1.0,-0.0
1357599264749,261.0,-1.0,-1.0
1357599265602,260.0,0.0,-1.0
1357599266030,260.0,-1.0,-0.0
1357599266459,261.0,-1.0,-0.0
1357599266671,261.0,-1.0,-1.0
1357599266885,261.0,-1.0,-0.0
1357599267099,261.0,0.0,-1.0
1357599267314,261.0,-1.0,-1.0
1357599267525,261.0,-1.0,-0.0
1357599267739,260.0,-1.0,-1.0
1357599267955,261.0,-1.0,-0.0
1357599268167,260.0,-1.0,-0.0
1357599268379,261.0,-1.0,-1.0
1357599268807,261.0,-1.0,-0.0
1357599269020,261.0,-1.0,-1.0
1357599269447,261.0,-1.0,-0.0
